t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
78	335	335	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	27	27	24	24	28	28	38	38	38	38	42	42	36	36	29	29	31	31	
79	440	440	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	61	61	39	39	23	23	42	42	53	53	26	26	55	55	49	49	38	38	54	54	
80	430	430	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	68	68	41	41	33	33	30	30	44	44	32	32	50	50	55	55	32	32	45	45	
81	444	444	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	34	34	16	16	34	34	56	56	36	36	60	60	62	62	35	35	57	57	
82	392	392	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	62	62	37	37	27	27	44	44	51	51	27	27	41	41	30	30	32	32	41	41	
83	410	410	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	38	38	32	32	24	24	50	50	35	35	41	41	49	49	39	39	39	39	
84	421	421	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	38	38	27	27	52	52	34	34	35	35	47	47	54	54	43	43	38	38	
85	424	424	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	45	45	24	24	43	43	45	45	33	33	49	49	64	64	36	36	38	38	
86	430	430	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	36	36	40	40	23	23	35	35	34	34	60	60	49	49	50	50	51	51	
87	443	443	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	58	58	40	40	34	34	36	36	51	51	43	43	40	40	54	54	45	45	42	42	
88	417	417	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	40	40	29	29	38	38	50	50	33	33	33	33	46	46	39	39	49	49	
89	423	423	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	42	42	33	33	31	31	32	32	37	37	54	54	59	59	33	33	43	43	
90	371	371	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	29	29	27	27	21	21	39	39	25	25	51	51	51	51	37	37	38	38	
91	312	312	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	27	27	30	30	26	26	33	33	24	24	35	35	45	45	31	31	21	21	
92	351	351	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	37	37	31	31	28	28	43	43	22	22	35	35	45	45	22	22	44	44	
93	372	372	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	36	36	31	31	17	17	20	20	17	17	57	57	55	55	42	42	38	38	
94	438	438	 600	1	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	39	39	25	25	39	39	46	46	45	45	44	44	51	51	54	54	36	36	
95	374	374	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	39	39	28	28	30	30	16	16	49	49	18	18	67	67	40	40	40	40	47	47	
