t	desired	actual	limit	b-cast	f-avg	f-sdev	f-g0	f-g1	f-g2	f-g3	f-g4	f-g5	f-g6	f-g7	f-g8	f-g9	d-g0	g0	d-g1	g1	d-g2	g2	d-g3	g3	d-g4	g4	d-g5	g5	d-g6	g6	d-g7	g7	d-g8	g8	d-g9	g9	
106	508	508	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	50	50	36	36	37	37	69	69	54	54	102	102	42	42	38	38	36	36	
107	505	505	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	74	74	42	42	45	45	63	63	50	50	58	58	28	28	36	36	49	49	
108	528	528	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	56	56	34	34	45	45	75	75	47	47	93	93	30	30	42	42	59	59	
109	488	488	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	51	51	40	40	44	44	44	44	86	86	54	54	54	54	29	29	42	42	44	44	
110	453	453	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	47	47	26	26	31	31	67	67	56	56	81	81	27	27	25	25	49	49	
111	477	477	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	67	67	40	40	38	38	31	31	82	82	60	60	63	63	37	37	29	29	30	30	
112	479	479	 600	13	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	56	56	44	44	40	40	62	62	36	36	52	52	31	31	63	63	53	53	
113	499	499	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	72	72	51	51	42	42	39	39	62	62	78	78	54	54	22	22	30	30	49	49	
114	495	495	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	56	56	36	36	39	39	70	70	41	41	74	74	42	42	39	39	56	56	
115	513	513	 600	2	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	44	44	34	34	60	60	29	29	78	78	57	57	96	96	37	37	27	27	51	51	
116	508	508	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	69	69	51	51	50	50	60	60	79	79	34	34	52	52	43	43	34	34	36	36	
117	450	450	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	54	54	52	52	29	29	27	27	61	61	41	41	72	72	32	32	38	38	44	44	
118	536	536	 600	9	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	53	53	35	35	59	59	34	34	95	95	94	94	69	69	41	41	18	18	38	38	
119	505	505	 600	7	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	60	60	42	42	65	65	30	30	70	70	53	53	56	56	46	46	34	34	49	49	
120	511	511	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	42	42	42	42	61	61	35	35	66	66	37	37	90	90	23	23	43	43	72	72	
121	523	523	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	40	40	50	50	43	43	53	53	77	77	46	46	80	80	38	38	40	40	56	56	
122	504	504	 600	10	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	37	37	38	38	39	39	78	78	55	55	80	80	29	29	30	30	53	53	
123	610	610	 600	8	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	56	56	59	59	51	51	42	42	108	108	65	65	78	78	50	50	24	24	77	77	
124	483	483	 600	0	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	49	49	60	60	24	24	61	61	43	43	80	80	47	47	30	30	37	37	
125	491	491	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	65	65	45	45	32	32	53	53	87	87	49	49	74	74	26	26	25	25	35	35	
126	525	525	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	63	63	49	49	45	45	51	51	95	95	39	39	71	71	20	20	30	30	62	62	
127	558	558	 600	6	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	55	55	38	38	56	56	45	45	79	79	80	80	67	67	26	26	43	43	69	69	
128	508	508	 600	5	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	52	52	41	41	42	42	39	39	87	87	49	49	79	79	33	33	32	32	54	54	
129	423	423	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	48	48	48	48	29	29	68	68	26	26	60	60	29	29	31	31	37	37	
130	512	512	 600	4	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	47	47	46	46	44	44	31	31	64	64	41	41	88	88	47	47	43	43	61	61	
131	566	566	 600	3	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	59	59	56	56	58	58	40	40	87	87	48	48	68	68	49	49	44	44	57	57	
